项目名,项目难度,技术领域,项目简述,项目产出要求
在skywalking-go中增加trace profiling功能,进阶/Advanced,"DevOps,DevSecOps","<p><span style=""color:#172b4d""><span style=""font-size:14px""><span style=""background-color:#ffffff"">目前skywalking-go已经实现对诸多插件的trace追踪, 在此基础上便可以结合pprof中的labels功能中将trace和goroutine中的profiling分析相互绑定并分析, 最终可以在UI中展示出火焰图</span></span></span></p><p>此功能为新功能，需要和导师沟通功能范围，和提交设计和实现方案。</p>","
1. 完成Trace Profiling功能, 并且完成E2E自动化验证
"
基于MindSpore Quantum实现自适应偏置场热启动QAOA算法 ,基础,AI,<p>任务背景：</p><p>1. 热启动策略：利用GW算法生成初始解，通过旋转编码为量子态，替代传统均匀叠加态。</p><p>2. 自适应偏置场：混合哈密顿量引入纵向偏置场，随优化过程更新，引导量子态向更优解演化。</p><p>3. 统一框架与理论分析，涵盖WS-ab-QAOA、WS-QAOA等变体。</p><p>任务需求：</p><p>基于MindSpore Quantum框架复现论文arXiv:2503.20048v1，实现热启动自适应偏置场QAOA，能够高效求解最大割问题，相对于论文中的对比对象有性能提升。</p>,"1. 要求使用MindSpore Quantum 0.10复现论文中3个图（figure2.4.5）；
2. 提交规范的技术报告，需包含：a.具体的算法流程，复现的技术细节，例如量子线路；b.分析方法的运行机理 c.该算法适用场景和局限；
3. 相关评估指标符合要求，代码需要有适当的注释并通过clean code标准；
4. 最终项目代码需要通过审核并合入MindSpore Quantum代码仓。
"
为 Arthas 实现 JFR 解析和前端UI库,基础,"AIOps,React,RESTful API","<p>JFR 是 JDK 里非常重要的性能分析工具，它生成的结果文件需要解析展示出来。期望可以使用 React 并基于 Ant Design 组件库实现解析展示。</p><p></p><ol><li>在Server端使用 JDK 的 JFR API解析 .jfr 文件，提供 RESTful API</li><li>在前端以火焰图方式展示分析结果</li><li>需要支持 CPU Time/Allocated Memory/File IO Time/File Read Size/Exception 等常见 Event 的分析展示</li></ol><p></p><p>参考链接</p><ol><li><a href=""https://github.com/alibaba/arthas/issues/3014"" target=""_blank"">https://github.com/alibaba/arthas/issues/3014</a> </li><li><u><a href=""https://ant.design/index-cn"" rel=""nofollow"">https://ant.design/index-cn</a></u></li><li><u><a href=""https://github.com/eclipse-jifa/jifa/tree/main/frontend"">https://github.com/eclipse-jifa/jifa/tree/main/frontend</a> </u></li></ol><p></p>","1. 在Server端使用 JDK 的 JFR API解析 .jfr 文件，提供 RESTful API
2. 在前端以火焰图方式展示分析结果
3. 需要支持 CPU Time/Allocated Memory/File IO Time/File Read Size/Exception 等常见 Event 的分析展示
"
Apache ShardingSphere: 增强 SQL Server SQL 解析引擎，适配更多 DDL、DML 语句,基础,MySQL,"<p>背景:</p><p><br/>Apache ShardingSphere 是一款分布式数据库生态系统。目前，ShardingSphere 对 SQL Server 的 SQL 解析支持仍存在局限性，部分复杂 DDL（数据定义语言）和 DML（数据操作语言）语法无法被准确解析，导致用户在分片、读写分离、数据加密等场景中无法充分利用 SQL Server 的功能。<br/>此任务的目标是提升 ShardingSphere SQL 解析引擎对 SQL Server 的 SQL 支持度，提升对 SQL Server 的生态兼容性，满足用户需求。<br/></p><p>任务:<br/>参考 SQL Server 语法文档：https://learn.microsoft.com/zh-cn/sql/t-sql/language-reference，适配常用的 DDL 和 DML 语句，并补充对应的测试用例。相关任务如下：<br/></p><ul><li><a href=""https://learn.microsoft.com/zh-cn/sql/t-sql/queries/select-transact-sql?view=sql-server-ver16"" data-lark-is-custom=""true"">SELECT</a></li><li><a href=""https://learn.microsoft.com/zh-cn/sql/t-sql/statements/insert-transact-sql?view=sql-server-ver16"" data-lark-is-custom=""true"">INSERT</a></li><li><a href=""https://learn.microsoft.com/zh-cn/sql/t-sql/queries/update-transact-sql?view=sql-server-ver16"" data-lark-is-custom=""true"">UPDATE</a></li><li><a href=""https://learn.microsoft.com/zh-cn/sql/t-sql/statements/delete-transact-sql?view=sql-server-ver16"" data-lark-is-custom=""true"">DELETE</a></li><li><a href=""https://learn.microsoft.com/zh-cn/sql/t-sql/statements/merge-transact-sql?view=sql-server-ver16"" data-lark-is-custom=""true"">MERGE</a></li><li><a href=""https://learn.microsoft.com/zh-cn/sql/t-sql/functions/functions?view=sql-server-ver16"" data-lark-is-custom=""true"">FUNCTIONS</a></li></ul><p></p>","1. Apache ShardingSphere 目前已经对 SQL Server 进行了初步适配，支持通过 JDBC 连接底层存储，实现数据加密、数据脱敏等增强功能。为了提升对 SQL Server 语句的支持度，需要增强 Apache ShardingSphere 内部的 SQL Server 解析引擎，适配更多的 DDL、DML 语句，并且增加  SQL Server 自动化测试程序，保证数据加密和数据脱敏功能可用。
"
ArceBoot引导程序设计,进阶,RISC-V,"<p size=""1"" _root=""[object Object]"" __ownerID=""undefined"" __hash=""undefined"" __altered=""false""><span style=""font-size:10.5ptpx"">ArceBoot是基于ArceOS组件生态设计的轻量级引导程序，旨在通过模块化方式实现内核启动能力。项目聚焦UEFI实现路径，与ArceOS组件深度集成，利用ArceOS的驱动、文件系统等组件，减少重复开发并构建一个安全、高效的引导程序，支持从存储介质加载内核并跳转执行，ArceBoot引导程序的实现也可以同时丰富ArceOS的组件生态。</span></p><p></p><p><span style=""font-size:10.5ptpx"">ArceBoot引导程序设计项目的主要目标是：基于ArceOS的驱动组件（axdriver）和文件系统组件（axfs），实现引导介质的探测与内核文件（/EFI/BOOT/*.EFI）的加载，解析PE/COFF格式的内核文件，将其加载到内存，并通过UEFI标准接口跳转执行，以达成启动内核的目的。</span></p><p></p><p><span style=""font-size:10.5ptpx"">若</span>ArceBoot引导程序实现时，其依赖的ArceOS组件<span style=""font-size:10.5ptpx"">仍不完善，为ArceOS提交的合并请求也计入本项目的贡献中。</span></p>","1. 完成ArceBoot的UEFI引导程序实现，支持在QEMU或者真实硬件上加载并启动内核。
2. 提供完整的构建与使用文档，包括示例配置和跨平台测试指南。
"
TinyVue组件增加全局配置动效方案,基础,"UI,Vue.js",<p>在开发应用时，为组件添加全局配置的动效方案是一种提升用户体验的好方法。这种方案允许开发者通过统一的方式控制所有组件的动画效果，从而保持应用的一致性和美观性，可参考Uiverse。</p>,"1. 定义全局动效配置，你需要定义一个全局的动效配置对象，这个对象可以包含各种动效相关的属性，比如动画类型、持续时间、延迟等。
2. 创建动效函数库，创建一些通用的动效函数（js函数或者less通用类），这些函数可以根据全局配置来执行特定类型的动画。例如，你可以为淡入淡出、滑动和缩放等常见动画创建函数。
3. 组件集成，每个组件都可以根据需要调用上述动效函数，并传入全局配置或局部配置。
4. 动态调整配置，可以希望提供一种方式来动态地改变全局动效配置，以便于在不同的场景下使用不同的动画效果。
5. 确保代码符合项目规范，有完整的TypeScript类型声明，UI美观体验良好。
6. 补充相应的文档和自动化测试用例。
7. 建议输出TinyVue组件增加全局配置动效方案的介绍文章和视频
"
使用仓颉语言编写的洛书运行环境,基础,Programming Language,<p>该项目要求使用仓颉编程语言进行实现一个嵌入式的洛书运行环境，可以在仓颉工程中插入洛书编写的脚本代码，提高工程的灵活性与拓展性。本项目要求实现以下功能：</p><ol><li>使用仓颉语言实现洛书的虚拟机、ADT与GC，支持运行编译后的字节码</li><li>实现洛书编译器（C 库）相关的调用接口，支持编译洛书脚本代码</li><li>设计实现 FFI 机制，可以与仓颉语言进行交互</li></ol>,"1.完成项目的基本功能要求，实现在仓颉工程中使用洛书脚本，实现动态执行。

 - 
2.在此基础上，基于FFI机制，实现基本脚本功能模块，如（IO、字符串、数学等）
3.（可选）遵循仓颉社区规范，将本项目贡献至 Cangjie-SIG
"
Cloudpods 大模型一键部署,进阶,"LLM,Docker,Kubernetes","<p>基于 Cloudpods 容器主机和 GPU 透传功能开发一键部署大模型工具。制作主流大语言模型( deepseek, qwen, llama 等）容器运行镜像， 命令行工具调用 Cloudpods API 运行大模型容器主机与 Dify LLM开发应用平台容器主机，通过 Dify 容器访问大语言模型容器服务。容器内大模型服务运行可使用 Ollama 开源 LLM 服务部署框架。</p>","1.  能通过 Cloudpods 容器主机一键部署主流大语言模型服务( deepseek, qwen, llama 等）。
2. 能通过 Cloudpods 容器主机一键部署 Dify LLM开发应用平台，能通过 Dify 访问部署的大语言模型服务。
3. 代码以 PR 形式提交到 https://github.com/yunionio/cloudpods 仓库
4. 产出项目开发使用文档
"
为IvorySQL开发基于uuid-ossp的sys_guid函数,基础,PostgreSQL,"<p class=""MsoNormal""><span style=""background-color:#ffffff"">(1)相关背景：</span></p><p class=""MsoNormal""><span style=""background-color:#ffffff"">IvorySQL是一个开源的基于PG的数据库，支持多种Oracle兼容特性。目前IvorySQL需要一个强大并确保数据库级别唯一的sys_guid函数。</span></p><p class=""MsoNormal""><span style=""background-color:#ffffff"">(2)已有的工作</span></p><p class=""MsoNormal""><span style=""background-color:#ffffff"">PG内核提供一个类似sys_guid()的函数，即基于伪随机数的gen_random_uuid ()。</span></p><p class=""MsoNormal""><span style=""background-color:#ffffff"">(3)存在的不足</span></p><p class=""MsoNormal""><span style=""background-color:#ffffff"">缺少sys_guid函数。</span></p><p class=""MsoNormal""><span style=""background-color:#ffffff"">(4)希望改进的点</span></p><p class=""MsoNormal""><span style=""background-color:#ffffff"">基于uuid-ossp/e2fs开发这样一个函数。</span></p><p class=""MsoNormal""><span style=""background-color:#ffffff"">(5)最终项目实现的目标</span></p><p class=""MsoNormal""><span style=""background-color:#ffffff"">代码以PR的形式提交到Github。</span></p>","1. 通过修改插件 uuid-ossp 的代码 contrib/uuid-ossp/uuid-ossp.c 实现sys_guid()函数。需要判断如下逻辑：如果系统有uuid-ossp，就使用uuid_make()，否则看有没有uuid-e2fs，如果有的话，就调用 uuid_generate_random(), 否则就调用 arc4random() 。同时修改代码使得IvorySQL能够自动载入uuid-ossp插件。
"
基于OrangePi AIpro和鸿蒙系统的智能网联小车开发,进阶,AI,<p>随着无线通信、鸿蒙系统、人工智能技术的快速发展，利用Orange Pi AIpro开发板及支持鸿蒙系统的移动终端开发智能网联小车成为了科研用户快速利用国产化软硬件技术掌握车联网开发的一种有效手段。</p>,"1. 利用Orange Pi AIpro开发板和高清摄像头搭建智能网联小车，小车利用OrangePi AIpro开发板作为主控板控制智能网联小车运动，小车利用OrangePi AIpro开发板上部署的AI算法通过摄像头辅助远程控制者进行目标检测、车道线检测、车道偏移计算等辅助控制功能。
2. 基于具有wifi通信功能的鸿蒙终端开发应用程序，实现控制者通过wifi远程控制智能网联小车运动，智能网联小车采集的视频数据能实时通过wifi传输到鸿蒙终端帮助远程控制者实时操控。
"
实现 nydusify copy 的不落盘能力,进阶,"AI,Kubernetes,FUSE",<p>镜像是容器基础设施中的一个重要部分，目前 OCI 标准镜像的缺陷之一是容器需要等待整个镜像数据下载完成后才能启动，这导致了容器启动时消耗了过多的端到端时间。开源容器镜像加速项目 Nydus 能够使得容器做到秒级冷启动，在镜像构建，分发与运行时，以及性能与安全性上有诸多探索，目前 Nydus 服务了每日百万级的容器创建，也在 AI 模型镜像分发上有着诸多落地场景。</p><p></p><p>本题目是实现 nydusify copy 的不落盘能力，nydus 在构建及运行时工具链上都支持了 RISC-V64 架构。</p>,"1. nydus 提供的镜像 copy 工具目前存在性能问题，数据拷贝过程中大量数据会落盘，我们需要优化掉该行为，且进一步优化并发拷贝性能，并编写单元测试，集成测试，以及用户文档。
"
为 Rainbond 实现 Kubeblocks 集成,进阶,"Docker,Kubernetes","<p><code>Rainbond</code><span style=""color:#1c1e21""><span style=""font-size:16px"">是一个云原生应用管理平台，使用简单，不需要懂容器、Kubernetes和底层复杂技术，支持管理多个Kubernetes集群，和管理企业应用全生命周期。主要功能包括应用开发环境、应用市场、微服务架构、应用交付、应用运维、应用级多云管理等。</span></span></p><p></p><p><span style=""color:#1c1e21""><span style=""font-size:16px"">KubeBlocks 是一个开源的 Kubernetes 数据库 operator，能够帮助用户在 Kubernetes 上运行和管理多种类型的数据库。</span></span></p><p></p><p><span style=""color:#1c1e21""><span style=""font-size:16px"">为 Rainbond 集成 KubeBlocks 实现数据库的创建、管理、备份等。</span></span></p><p></p><p><span style=""color:#1c1e21""><span style=""font-size:16px"">（<span style=""background-color:#ffffff"">可以提供 Cursor 会员账号</span>）</span></span></p>","1. 产出设计文档
 - 1.1：包括产品设计、技术设计
2. 为 Rainbond 实现 KubeBlocks 功能
 - 2.1：实现 Rainbond 插件化安装 KubeBlocks 相关服务
 - 2.2：使用 Golang 实现 KubeBlocks 相关的 CRD 资源创建，包括备份
 - 2.3：实现 UI 界面化的创建流程
"
铜锁密码库支持密码设备接口（SDF）和智能密码钥匙接口（SKF）功能,进阶,"RSA,PKI,SSL/TLS,AES","<p><span style=""color:#1f2328""><span style=""font-size:16px"">铜锁/Tongsuo是一个提供现代密码学算法和安全通信协议的开源基础密码库，为存储、网络、密钥管理、隐私计算等诸多业务场景提供底层的密码学基础能力，实现数据在传输、使用、存储等过程中的私密性、完整性和可认证性，为数据生命周期中的隐私和安全提供保护能力。</span></span><br/><span style=""color:#1f2328""><span style=""font-size:16px"">密码设备应用接口规范，对应标准为GM/T 0018-2023，定义了密码卡设备的调用接口。</span></span><br/><span style=""color:#1f2328""><span style=""font-size:16px"">智能密码钥匙接口规范，对应标准为GM/T 0016-2023定义了智能密码钥匙设备的调用接口。</span></span></p><p></p><p><span style=""color:#1f2328""><span style=""font-size:16px"">目前，Tongsuo开源项目只支持部分的SDF接口，需要参考SDF标准，支持完整的SDF接口。</span></span></p><p><span style=""color:#1f2328""><span style=""font-size:16px"">Tongsuo开源项目还不支持SKF接口，需要参考SKF标准，支持完整的SKF接口。</span></span></p><p></p><p><span style=""color:#1f2328""><span style=""font-size:16px"">补齐Tongsuo项目的SDF和SKF接口能力，为了帮助密码应用程序和用户更好的管理和控制密码卡和密码智能钥匙设备。</span></span></p><p></p><p><span style=""color:#1f2328""><span style=""font-size:16px"">企业会帮忙协调密码硬件设备。</span></span></p>","1. 完善Tongsuo中的SDF功能，至少适配一种密码卡或密码机
 - 1.1：开发完整的SDF功能接口
 - 1.2：至少适配一种密码卡设备
 - 1.3：提供完善的测试用例和文档
2. 开发SKF接口，至少适配一种智能密码钥匙
 - 2.1：开发完整的SKF功能接口
 - 2.2：至少适配一种智能密码钥匙设备
 - 2.3：提供完善的测试用例和文档
"
SeaTunnel on Flink cdc connector 支持schema evolution,进阶/Advanced,Flink,"<p><span style=""color:#000000""><span style=""font-size:16px""><span style=""background-color:#ffffff"">目前SeaTunnel已经定义好了schema evolution相关的api接口，并且已经在zeta引擎上实现，该课题目标是在Flink引擎上实现该功能。</span></span></span></p>","
1. 功能实现落地方案
2. 实现Flink引擎schema evolution功能
3. 编写完善的单元测试 + 集成测试
"
使用 Nacos 实现 FIT 集群的注册中心,基础,"Spring Boot,Programming Language",<p>FIT 集群跨进程服务间调用采用的是传统通用的服务注册与发现的机制，在开源前已经存在一版内部C++的注册中心实现，同时，为了方便调试，又提供了一版Java内存版的简单实现。</p><p></p><p>不管是哪一种实现，都是使用的 FIT 标准的插件来实现的，且注册中心的若干个插件提供的能力属于整个 FIT 系统最关键最基础的能力，已经拥有标准的接口定义（SPI），也就是说，不管是哪一种插件的实现，对于核心框架来说，代码都是不感知的。</p><p></p><p>当前开源之后，需要接入业界最流行的 Nacos 注册中心体系，相当于基于 Nacos，实现一个新的注册中心插件，要求实现所有注册中心的 SPI，让 Nacos 的注册中心插件可以成为 FIT 集群跨进程通信的稳定生产插件。</p>,"1. 一个由 Java 语言实现的 FIT 插件
2. 使用该插件，FIT 集群（当前需要在 FIT for Java、python 两种语言的 FIT 运行时上）可以正常通信
"
MindSpore 框架下纯视觉 3D 检测模型（LSS 类）迁移与优化,进阶,AI,<p>Lift-Splat-Shoot 类纯视觉 3D 目标检测通过单目图像预测物体三维坐标，在自动驾驶、机器人等领域至关重要。当前主流模型多基于 PyTorch，需迁移至 MindSpore 框架以提升生态兼容性。</p>,"1. 完成模型结构复现、算子适配（如自定义 3D 坐标变换算子）
2. 针对 NPU 硬件特性优化模型推理速度
3. 开发一个相应的应用案例
"
