标题,链接,发布人,发布日期,附件名称,附件链接,附件下载量
关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/../info/1040/14189.htm,【质量办】,2025-09-06,附件2：福州大学课堂教学质量评估表（思政课）.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714973,53
关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/../info/1040/14189.htm,【质量办】,2025-09-06,附件3：202501第一周课表.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714974,116
关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/../info/1040/14189.htm,【质量办】,2025-09-06,附件4：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714975,51
关于2025-2026学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,https://jwch.fzu.edu.cn/../info/1038/14185.htm,【计划科】,2025-09-06,2025-2026学年第一学期国情课列表.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714904,510
关于2025-2026学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,https://jwch.fzu.edu.cn/../info/1038/14185.htm,【计划科】,2025-09-06,港澳台侨学生思政课和军事课程退选申请表.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714905,557
关于2025-2026学年第一学期通识教育选修课选课的通知,https://jwch.fzu.edu.cn/../info/1038/14184.htm,【计划科】,2025-09-06,超星尔雅使用手册（学生版）.pdf,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714902,744
关于2025-2026学年第一学期通识教育选修课选课的通知,https://jwch.fzu.edu.cn/../info/1038/14184.htm,【计划科】,2025-09-06,慕课堂学生操作手册.pdf,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714903,471
关于2025-2026学年第一学期通识教育选修课选课的通知,https://jwch.fzu.edu.cn/../info/1038/14184.htm,【计划科】,2025-09-06,智慧树学生手册2025.pptx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714901,739
关于2025-2026学年第一学期教材发放的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14182,【教材中心】,2025-09-05,,,
福州大学关于开展2025级“数理综合班”招生工作的通知,https://jwch.fzu.edu.cn/../info/1037/14181.htm,【教研教改】,2025-09-05,附件1：福州大学2025级“数理综合班”招生简章.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714578,1671
福州大学关于开展2025级“数理综合班”招生工作的通知,https://jwch.fzu.edu.cn/../info/1037/14181.htm,【教研教改】,2025-09-05,附件2：承诺书.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714579,369
福州大学关于开展2025级“数智实验班” 招生工作的通知,https://jwch.fzu.edu.cn/../info/1037/14179.htm,【教研教改】,2025-09-05,附件2：福州大学2025级“数智实验班”选拔方案.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714573,1467
福州大学关于开展2025级“数智实验班” 招生工作的通知,https://jwch.fzu.edu.cn/../info/1037/14179.htm,【教研教改】,2025-09-05,附件1：福州大学2025级“数智实验班”招生简章.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714572,1460
福州大学关于开展2025级“数智实验班” 招生工作的通知,https://jwch.fzu.edu.cn/../info/1037/14179.htm,【教研教改】,2025-09-05,附件3：承诺书.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714574,297
福州大学关于开展2025级“嘉锡化学拔尖班”招生工作的通知,https://jwch.fzu.edu.cn/../info/1037/14177.htm,【教研教改】,2025-09-04,附件1：福州大学2025级“嘉锡化学拔尖班”招生简章.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714466,633
福州大学关于开展2025级“嘉锡化学拔尖班”招生工作的通知,https://jwch.fzu.edu.cn/../info/1037/14177.htm,【教研教改】,2025-09-04,附件2：福州大学2025级“嘉锡化学拔尖班”选拔方案.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714465,407
福州大学关于开展2025级“数理金融实验班”招生工作的通知,https://jwch.fzu.edu.cn/../info/1037/14176.htm,【教研教改】,2025-09-02,附件2：福州大学2025级“数理金融实验班”选拔方案.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714218,646
福州大学关于开展2025级“数理金融实验班”招生工作的通知,https://jwch.fzu.edu.cn/../info/1037/14176.htm,【教研教改】,2025-09-02,附件1：福州大学2025级“数理金融实验班”招生简章.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714580,809
福州大学关于开展2025级“数理金融实验班”招生工作的通知,https://jwch.fzu.edu.cn/../info/1037/14176.htm,【教研教改】,2025-09-02,附件3：2025级数理金融实验班申请表.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714220,294
福州大学关于开展2025级“数理金融实验班”招生工作的通知,https://jwch.fzu.edu.cn/../info/1037/14176.htm,【教研教改】,2025-09-02,附件4：承诺书.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714221,183
关于开展二期智慧教室、智慧实验室使用培训工作的通知,https://jwch.fzu.edu.cn/../info/1041/14172.htm,【电教中心】,2025-08-29,,,
关于填报2024年度非学历教育发展数据的通知,https://jwch.fzu.edu.cn/../info/1035/14171.htm,【综合科】,2025-08-20,附件：2024年度福州大学非学历教育数据采集表-模板.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16712478,113
福州大学关于公布本科生开放探索性实验项目（课程）立项名单的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14152,【实践科】,2025-07-08,,,
教务处关于2025年暑假工作安排的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=14151,【综合科】,2025-07-05,,,
关于公布2023年、2024年本科生科研训练计划项目结题成绩的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14149,【实践科】,2025-07-04,,,
关于公布2025年第二十五届数学竞赛获奖名单的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14147,【实践科】,2025-07-02,,,
关于公布第十六届企业经营模拟沙盘对抗赛获奖名单的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14143,【实践科】,2025-06-30,,,
关于公布2025年大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛获奖名单的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14142,【实践科】,2025-06-30,,,
关于2025-2026学年第一学期辅修专业选课的通知,https://jwch.fzu.edu.cn/../info/1036/14141.htm,【教学运行】,2025-06-30,,,
关于公布第十四届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14139,【实践科】,2025-06-27,,,
福州大学关于公布2025届本科生优秀毕业设计（论文）名单的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14134,【实践科】,2025-06-24,,,
福州大学关于公布大学生劳动教育实践基地立项名单的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14135,【实践科】,2025-06-24,,,
福州大学关于公布示范性校外实践教学基地立项名单的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14133,【实践科】,2025-06-24,,,
关于举办福州大学第七十二场“教学有道”暨数智课程建设与应用实操工作坊的通知,https://jwch.fzu.edu.cn/../info/1040/14131.htm,【质量办】,2025-06-24,,,
关于2025高教社杯全国大学生数学建模竞赛报名的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14128,【实践科】,2025-06-23,,,
关于更改2024-2025学年春季学期期末本科教育教学工作会议地点的通知,https://jwch.fzu.edu.cn/../info/1035/14127.htm,【综合科】,2025-06-23,,,
关于做好期末复习考试及下学期开学等工作的通知,https://jwch.fzu.edu.cn/../info/1036/14126.htm,【教学运行】,2025-06-21,,,
福州大学关于印发2025—2026学年校历的通知,https://jwch.fzu.edu.cn/../info/1036/14125.htm,【教学运行】,2025-06-20,,,
关于转发教育部高等教育司关于开展人工智能综合能力提升培训工作的通知,https://jwch.fzu.edu.cn/../info/1035/14124.htm,【综合科】,2025-06-19,教育部高等教育司关于开展人工智能综合能力提升培训工作的通知（6月30日前）.pdf,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16486009,265
关于转发教育部高等教育司关于开展人工智能综合能力提升培训工作的通知,https://jwch.fzu.edu.cn/../info/1035/14124.htm,【综合科】,2025-06-19,（学院名称）——参加教育部人工智能综合能力提升培训工作情况 .xls,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16486008,199
关于核对2025-2026学年第一学期通识教育选修课开课信息的有关通知,https://jwch.fzu.edu.cn/../info/1038/14123.htm,【计划科】,2025-06-19,,,
关于2024-2025学年第二学期《高等数学A（中）》、《高等数学B（下）》和《高等数学C（下）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14121.htm,【教学运行】,2025-06-18,2402高数数学A中、B下、C下期末考-7.4上、下午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485393,259
关于召开2024-2025学年春季学期期末本科教育教学工作会议的通知,https://jwch.fzu.edu.cn/../info/1035/14120.htm,【综合科】,2025-06-18,,,
关于2024-2025学年第二学期《大学物理A（上）》、《大学物理B（上）》、《大学物理C》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14117.htm,【教学运行】,2025-06-17,2402大学物理A（上）、B（上）、C期末考-7.3上、下午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485022,134
关于2024-2025学年第二学期《大学英语（三）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14116.htm,【教学运行】,2025-06-17,2402大学英语三期末考-6.29上、下午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485009,228
关于2024-2025学年第二学期《英语专题》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14115.htm,【教学运行】,2025-06-17,2402专题英语期末考-6.28上、下午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485008,182
关于2025-2026学年第一学期本科生学期选课的通知,https://jwch.fzu.edu.cn/../info/1036/14114.htm,【教学运行】,2025-06-16,,,
关于2024-2025学年第二学期《大学英语（二）》、《大学英语（四）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14107.htm,【教学运行】,2025-06-10,2402大学英语四期末考-6.20上午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16478613,186
关于2024-2025学年第二学期《大学英语（二）》、《大学英语（四）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14107.htm,【教学运行】,2025-06-10,2402大学英语二期末考-6.28下午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16478612,209
关于组织申报2025年度教育部大中小课程教材研究项目的通知,https://jwch.fzu.edu.cn/../info/1042/14105.htm,【教材中心】,2025-06-06,附件1.教育部办公厅关于组织申报2025年度教育部大中小学课程教材研究项目的通知.pdf,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477964,180
关于组织申报2025年度教育部大中小课程教材研究项目的通知,https://jwch.fzu.edu.cn/../info/1042/14105.htm,【教材中心】,2025-06-06,附件2.教育部大中小学课程教材研究项目2025年度重大项目和重点项目选题指南.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477965,140
关于组织申报2025年度教育部大中小课程教材研究项目的通知,https://jwch.fzu.edu.cn/../info/1042/14105.htm,【教材中心】,2025-06-06,附件3.教育部大中小学课程教材研究项目2025年度申报书.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477966,112
关于组织申报2025年度教育部大中小课程教材研究项目的通知,https://jwch.fzu.edu.cn/../info/1042/14105.htm,【教材中心】,2025-06-06,附件4.2025年度教育部大中小学课程教材研究项目推荐汇总表.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477967,102
关于上报学院院级本科教育教学相关规章制度的通知,https://jwch.fzu.edu.cn/../info/1040/14098.htm,【质量办】,2025-06-03,,,
关于上报学院院级本科教育教学相关规章制度的通知,https://jwch.fzu.edu.cn/../info/1012/14097.htm,【教学通知】,2025-06-03,,,
关于2024-2025学年第二学期《马克思主义基本原理》、《毛泽东思想和中国特色社会主义理论体系概论》和《思想道德与法治》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14095.htm,【教学运行】,2025-06-03,2402德法随堂考.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16230472,186
关于2024-2025学年第二学期《马克思主义基本原理》、《毛泽东思想和中国特色社会主义理论体系概论》和《思想道德与法治》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14095.htm,【教学运行】,2025-06-03,2402马原随堂考.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16230473,249
关于2024-2025学年第二学期《马克思主义基本原理》、《毛泽东思想和中国特色社会主义理论体系概论》和《思想道德与法治》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14095.htm,【教学运行】,2025-06-03,2402毛概随堂考.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16230471,222
关于公布第十一届桥梁设计大赛获奖名单的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14092,【实践科】,2025-05-30,,,
关于公布第九届网络信息安全竞赛获奖名单的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14091,【实践科】,2025-05-30,,,
关于举办福州大学第七十一场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/../info/1040/14090.htm,【质量办】,2025-05-29,,,
福州大学关于印发本科生转专业管理实施办法的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14089,【教学运行】,2025-05-28,,,
关于开展大学生校外实践教学基地抽检工作的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14086,【实践科】,2025-05-28,,,
关于2025年端午节放假课程调整的通知,https://jwch.fzu.edu.cn/../info/1036/14084.htm,【教学运行】,2025-05-27,,,
关于2024-2025学年第二学期《概率论与数理统计》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14081.htm,【教学运行】,2025-05-27,2402概率-6.8下午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16228788,194
关于举办福州大学第七十场“教学有道”暨第三期智慧教学课程平台与AI智慧教学工具培训的通知,https://jwch.fzu.edu.cn/../info/1040/14076.htm,【质量办】,2025-05-26,,,
福州大学关于修订印发《本科生毕业设计（论文）规范使用AI工具的规定》的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14075,【实践科】,2025-05-22,,,
关于2024-2025学年第二学期《工程制图C（下）》、《工程制图D》、《工程制图F》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14072.htm,【教学运行】,2025-05-22,2402工程制图C（下）、D、F期末考-6.8上午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15786264,213
关于评选福州大学2025届本科生优秀毕业设计（论文）的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14070,【实践科】,2025-05-21,,,
关于2024-2025学年第二学期再次开放本科生学生证补办和火车票优惠区间更改的通知,https://jwch.fzu.edu.cn/../info/1035/14068.htm,【综合科】,2025-05-20,,,
关于做好2025-2026学年第一学期教材选用与征订工作的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14061,【教材中心】,2025-05-16,,,
关于2024-2025学年第二学期《中国近现代史纲要》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14060.htm,【教学运行】,2025-05-15,2402史纲随堂考.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15785065,355
关于组织申报2025年本科生开放探索性实验项目（课程）的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14059,【实践科】,2025-05-15,,,
关于开展2023年本科生开放探索性实验项目（课程）结题验收工作的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14058,【实践科】,2025-05-15,,,
